month,exports
2007M01,3988101
2007M02,2781326
2007M03,3871763
2007M04,2735583
2007M05,2755269
2007M06,3755215
2007M07,3248809
2007M08,2919596
2007M09,3493469
2007M10,3890162
2007M11,3570122
2007M12,2601178
2008M01,3297008
2008M02,3458193
2008M03,2887297
2008M04,3592494
2008M05,3370963
2008M06,3599003
2008M07,4082688
2008M08,2672900
2008M09,3448708
2008M10,3933038
2008M11,3226245
2008M12,3061462
2009M01,3546207
2009M02,3246569
2009M03,3452006
2009M04,3172357
2009M05,3398949
2009M06,3835677
2009M07,3815702
2009M08,2807465
2009M09,3854695
2009M10,3703475
2009M11,3725059
2009M12,2792444
2010M01,4015547
2010M02,3564711
2010M03,4610032
2010M04,3452710
2010M05,4058176
2010M06,4870566
2010M07,4819292
2010M08,3917527
2010M09,4161309
2010M10,4405291
2010M11,4452171
2010M12,4062663
2011M01,4957940
2011M02,4602854
2011M03,5076752
2011M04,4268602
2011M05,4663203
2011M06,4384186
2011M07,4426101
2011M08,4855819
2011M09,4752673
2011M10,4579865
2011M11,5196064
2011M12,4763776
2012M01,5448564
2012M02,5571309
2012M03,5040856
2012M04,4683491
2012M05,5602877
2012M06,5768040
2012M07,5856432
2012M08,5609895
2012M09,5823254
2012M10,6448348
2012M11,6686076
2012M12,4252197
2013M01,7320008
2013M02,4960572
2013M03,5572605
2013M04,7129895
2013M05,5814328
2013M06,5253544
2013M07,6522193
2013M08,4984946
2013M09,5427127
2013M10,6522733
2013M11,6243475
2013M12,5325394
2014M01,6122843
2014M02,6315575
2014M03,6122889
2014M04,5905111
2014M05,6310312
2014M06,6074239
2014M07,6810265
2014M08,5114791
2014M09,5974831
2014M10,7343552
2014M11,5646659
2014M12,5797589
2015M01,7558542
2015M02,6794612
2015M03,8154166
2015M04,6587984
2015M05,7118605
2015M06,6537908
2015M07,6875693
2015M08,6270622
2015M09,8894012
2015M10,6834324
2015M11,7853556
2015M12,6379080
2016M01,8316498
2016M02,6601849
2016M03,7400693
2016M04,7489510
2016M05,7318270
2016M06,8150639
2016M07,7600180
2016M08,7805950
2016M09,7461079
2016M10,8272273
2016M11,8217718
2016M12,6609714
2017M01,9469272
2017M02,7908699
2017M03,8707382
2017M04,7116257
2017M05,7754978
2017M06,7589996
2017M07,7203671
2017M08,6373137
2017M09,7411401
2017M10,8448549
2017M11,7738876
2017M12,6969393
2018M01,9828996
2018M02,7772759
2018M03,8016125
2018M04,7343239
2018M05,7784108
2018M06,8268547
2018M07,9058065
2018M08,6965840
2018M09,7706755
2018M10,9410476
2018M11,10487238
2018M12,7357825
2019M01,11473842
2019M02,9344749
2019M03,8620666
2019M04,9071661
2019M05,11862645
2019M06,8816048
2019M07,10975618
2019M08,9669480
2019M09,11085331
2019M10,13468750
2019M11,12605637
2019M12,9512186
2020M01,13358602
2020M02,12742915
2020M03,12785550
2020M04,10468626
2020M05,11070940
2020M06,11875485
2020M07,11865794
2020M08,8166609
2020M09,12684280
2020M10,9022802
2020M11,11732451
2020M12,11109723
2021M01,10267768
2021M02,9905384
2021M03,10578193
2021M04,10555898
2021M05,11996472
2021M06,12249198
2021M07,11102760
2021M08,7707933
2021M09,10328709
2021M10,10863125
2021M11,13489781
2021M12,12486754
2022M01,11940405
2022M02,11724095
2022M03,14415367
2022M04,12175510
2022M05,14122628
2022M06,12052758
2022M07,12087336
2022M08,11402333
2022M09,12658972
2022M10,13343265
2022M11,15998957
2022M12,15655858
2023M01,14925245
2023M02,12631661
2023M03,14642080
2023M04,12426826
2023M05,14113102
2023M06,13071636
2023M07,13679957
2023M08,13524155
2023M09,10948247
2023M10,13171636
2023M11,13953172
2023M12,11683310
2024M01,13589141
2024M02,12721975
2024M03,13673699
2024M04,14672526
2024M05,13520538
2024M06,15975639
2024M07,13958653
2024M08,13539027
2024M09,11195976
2024M10,15811423
2024M11,14257908
2024M12,14026749
2025M01,15017857
2025M02,13427422
2025M03,15757949
2025M04,14084331
2025M05,17173760
2025M06,17392156
2025M07,18869138
2025M08,12957634
2025M09,15452812
2025M10,14266818
2025M11,17408976
2025M12,17434979
2026M01,15110121
2026M02,16275001
2026M03,14939498
